Region No.,Region Name,1 km Grid Cell Size(col x row),4 km Grid Cell Size (col x row),Byte Value,Area of Ocean Pixels (km2)
0,Northern Hemisphere,24576 x 24576,6144 x 6144,N/A,129153320
1,Beaufort Sea,1917 x 1730,497 x 449,1,1069711
2,Chukchi Sea,1591 x 1114,416 x 297,2,966006
3,East Siberian Sea,1832 x 1760,476 x 457,3,1087137
4,Laptev Sea,2024 x 1979,524 x 513,4,897845
5,Kara Sea,1588 x 2017,415 x 523,5,935023
6,Barents Sea,2376 x 2063,612 x 533,6,1646235
7,Greenland Sea,2255 x 3328,582 x 850,7,3382641
8,Baffin Bay/Gulf of St. Lawrence,3156 x 4956,807 x 1257,8,3982776
9,Canadian Archipelago,2052 x 2184,531 x 564,9,852767
10,Hudson Bay,2291 x 2591,591 x 665,10,1260903
11,Central Arctic,2217 x 2453,573 x 631,11,3248013
12,Bering Sea,1621 x 3658,423 x 932,12,2802197
13,Baltic Sea,2046 x 1608,530 x 420,13,509186
14,Sea of Okhotsk,2034 x 4247,527 x 1079,14,2173085
15,Yellow Sea,1285 x 1418,339 x 373,15,426090
16,Cook Inlet,1454 x 1144,382 x 304,16,567004